,State,Pincode,Dist_name,Date
0,Assam,786008,Dibrugarh,04-05-2021
1,Bihar,851101,Begusarai,10-05-2021
2,Bihar,851211,Begusarai,05-05-2021
3,Bihar,851120,Begusarai,05-05-2021
4,Bihar,802223,Bhojpur,03-05-2021
5,Bihar,802207,Bhojpur,03-05-2021
6,Bihar,801104,Patna,06-05-2021
7,Bihar,801104,Patna,06-05-2021
8,Chhattisgarh,493195,Baloda bazar,04-05-2021
9,Chhattisgarh,493344,Baloda bazar,04-05-2021
10,Chhattisgarh,493338,Baloda bazar,02-05-2021
11,Chhattisgarh,493889,Gariaband,07-05-2021
12,Chhattisgarh,496242,Jashpur,05-05-2021
13,Chhattisgarh,494228,Kondagaon,08-05-2021
14,Chhattisgarh,497339,Koriya,07-05-2021
15,Chhattisgarh,497339,Koriya,07-05-2021
16,Chhattisgarh,493445,Mahasamund,04-05-2021
17,Chhattisgarh,497111,Surguja,08-05-2021
18,Delhi,110007,Central Delhi,06-05-2021
19,Delhi,110007,Central Delhi,04-05-2021
20,Delhi,110096,East Delhi,10-05-2021
21,Delhi,110007,Central Delhi,04-05-2021
22,Delhi,110092,East Delhi,08-05-2021
23,Delhi,110092,East Delhi,08-05-2021
24,Delhi,110039,North Delhi,08-05-2021
25,Delhi,110001,New Delhi,03-05-2021
26,Delhi,110039,North Delhi,08-05-2021
27,Delhi,110040,North Delhi,03-05-2021
28,Delhi,110086,North West Delhi,08-05-2021
29,Delhi,110086,North West Delhi,08-05-2021
30,Delhi,110016,South Delhi,10-05-2021
31,Delhi,110068,South Delhi,09-05-2021
32,Delhi,110019,South East Delhi,08-05-2021
33,Delhi,110049,South Delhi,08-05-2021
34,Delhi,110019,South East Delhi,08-05-2021
35,Delhi,110019,South East Delhi,08-05-2021
36,Goa,403506,North Goa,09-05-2021
37,Goa,403506,North Goa,09-05-2021
38,Goa,403110,North Goa,07-05-2021
39,Gujarat,382440,Ahmedabad Corporation,09-05-2021
40,Gujarat,382440,Ahmedabad Corporation,09-05-2021
41,Gujarat,382475,Ahmedabad Corporation,02-05-2021
42,Gujarat,365545,Amreli,08-05-2021
43,Gujarat,364230,Bhavnagar,08-05-2021
44,Gujarat,392001,Bharuch,06-05-2021
45,Gujarat,364230,Bhavnagar,08-05-2021
