StateCode,DistrictID,DistrictName

1,3,Nicobar

1,1,North and Middle Andaman

1,2,South Andaman

2,9,Anantapur

2,10,Chittoor

2,11,East Godavari

2,5,Guntur

2,4,Krishna

2,7,Kurnool

2,12,Prakasam

2,13,Sri Potti Sriramulu Nellore

2,14,Srikakulam

2,8,Visakhapatnam

2,15,Vizianagaram

2,16,West Godavari

2,6,"YSR District, Kadapa (Cuddapah)"

3,22,Anjaw

3,20,Changlang

3,25,Dibang Valley

3,23,East Kameng

3,42,East Siang

3,17,Itanagar Capital Complex

3,24,Kamle

3,27,Kra Daadi

3,21,Kurung Kumey

3,33,Lepa Rada

3,29,Lohit

3,40,Longding

3,31,Lower Dibang Valley

3,18,Lower Siang

3,32,Lower Subansiri

3,36,Namsai

3,19,Pakke Kessang

3,39,Papum Pare

3,35,Shi Yomi

3,37,Siang

3,30,Tawang

3,26,Tirap

3,34,Upper Siang

3,41,Upper Subansiri

3,28,West Kameng

3,38,West Siang

4,46,Baksa

4,47,Barpeta

4,765,Biswanath

4,57,Bongaigaon

4,66,Cachar

4,766,Charaideo

4,58,Chirang

4,48,Darrang

4,62,Dhemaji

4,59,Dhubri

4,43,Dibrugarh

4,67,Dima Hasao

4,60,Goalpara

4,53,Golaghat

4,68,Hailakandi

4,764,Hojai

4,54,Jorhat

4,49,Kamrup Metropolitan

4,50,Kamrup Rural

4,51,Karbi-Anglong

4,69,Karimganj

4,61,Kokrajhar

4,63,Lakhimpur

4,767,Majuli

4,55,Morigaon

4,56,Nagaon

4,52,Nalbari

4,44,Sivasagar

4,64,Sonitpur

4,768,South Salmara Mankachar

4,45,Tinsukia

4,65,Udalguri

4,769,West Karbi Anglong

5,74,Araria

5,78,Arwal

5,77,Aurangabad

5,83,Banka

5,98,Begusarai

5,82,Bhagalpur

5,99,Bhojpur

5,100,Buxar

5,94,Darbhanga

5,105,East Champaran

5,79,Gaya

5,104,Gopalganj

5,107,Jamui

5,91,Jehanabad

5,80,Kaimur

5,75,Katihar

5,101,Khagaria

